PACKET_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,10841,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,10841,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,10841,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,10841,FALSE,TRUE,FALSE,0
5,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,10841,0,FALSE,FALSE,FALSE,1460
5,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,10841,0,FALSE,FALSE,FALSE,1460
5,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,10841,0,FALSE,FALSE,FALSE,1460
5,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,10841,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,12301,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,12301,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,12301,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,12301,FALSE,TRUE,FALSE,0
6,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,12301,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,13761,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,13761,FALSE,TRUE,FALSE,0
